epoch,train_loss,train_f1_average,val_loss,val_f1_average
001,0.06781,0.00859,0.65080,0.01353
001,0.06779,0.00871,0.65099,0.01357
001,0.06779,0.00860,0.65101,0.01339
001,0.06778,0.00864,0.65055,0.01345
002,0.06214,0.01850,0.56557,0.02518
002,0.06215,0.01832,0.56590,0.02501
002,0.06216,0.01828,0.56489,0.02495
002,0.06212,0.01852,0.56598,0.02502
003,0.05368,0.02751,0.47543,0.03198
003,0.05373,0.02746,0.47385,0.03178
003,0.05369,0.02740,0.47484,0.03188
003,0.05368,0.02745,0.47377,0.03182
004,0.04562,0.03490,0.40119,0.03956
004,0.04570,0.03483,0.40255,0.03960
004,0.04571,0.03476,0.40155,0.03984
004,0.04576,0.03490,0.40127,0.03955
005,0.03947,0.04252,0.34666,0.04928
005,0.03955,0.04271,0.34632,0.04855
005,0.03949,0.04276,0.34817,0.04859
005,0.03951,0.04277,0.34717,0.04838
006,0.03491,0.05135,0.30787,0.05957
006,0.03498,0.05138,0.30750,0.05896
006,0.03491,0.05146,0.30554,0.05886
006,0.03509,0.05102,0.30941,0.05899
007,0.03138,0.05887,0.27953,0.06643
007,0.03147,0.05862,0.28016,0.06569
007,0.03154,0.05874,0.27818,0.06753
007,0.03150,0.05836,0.27923,0.06650
008,0.02889,0.06464,0.25754,0.07222
008,0.02896,0.06475,0.25980,0.07227
008,0.02908,0.06374,0.25872,0.07272
008,0.02898,0.06453,0.26046,0.07175
009,0.02695,0.06779,0.24029,0.07248
009,0.02703,0.06727,0.24213,0.07277
009,0.02684,0.06813,0.24244,0.07248
009,0.02695,0.06732,0.24028,0.07281
010,0.02490,0.06846,0.21849,0.07463
010,0.02510,0.06828,0.21787,0.07425
010,0.02494,0.06807,0.21715,0.07422
010,0.02503,0.06811,0.21830,0.07463
011,0.02344,0.06870,0.20050,0.07659
011,0.02331,0.06898,0.20362,0.07666
011,0.02320,0.06942,0.20196,0.07620
011,0.02323,0.06916,0.20247,0.07571
012,0.02196,0.07116,0.19211,0.07793
012,0.02206,0.07059,0.19291,0.07661
012,0.02202,0.07137,0.19188,0.07759
012,0.02187,0.07113,0.19091,0.07750
013,0.02081,0.07225,0.18149,0.07935
013,0.02086,0.07256,0.18264,0.07850
013,0.02092,0.07249,0.18442,0.07819
013,0.02087,0.07198,0.18397,0.07858
014,0.01990,0.07329,0.17577,0.07996
014,0.01983,0.07354,0.17494,0.08132
014,0.01986,0.07316,0.17587,0.08034
014,0.01997,0.07346,0.17569,0.07950
015,0.01923,0.07411,0.17067,0.08158
015,0.01920,0.07373,0.17002,0.08053
015,0.01914,0.07409,0.17007,0.08145
015,0.01920,0.07380,0.17009,0.08045
016,0.01863,0.07474,0.16473,0.08056
016,0.01861,0.07480,0.16412,0.08148
016,0.01860,0.07452,0.16610,0.08077
016,0.01859,0.07442,0.16684,0.08045
017,0.01816,0.07551,0.16201,0.08177
017,0.01814,0.07525,0.16206,0.08072
017,0.01822,0.07581,0.16125,0.08143
017,0.01807,0.07591,0.16094,0.08085
018,0.01776,0.07611,0.15770,0.08249
018,0.01770,0.07648,0.15595,0.08248
018,0.01756,0.07575,0.15568,0.08239
018,0.01770,0.07577,0.15609,0.08238
019,0.01732,0.07651,0.15310,0.08415
019,0.01728,0.07696,0.15465,0.08408
019,0.01724,0.07668,0.15490,0.08386
019,0.01740,0.07615,0.15275,0.08411
020,0.01705,0.07662,0.15148,0.08318
020,0.01695,0.07693,0.14787,0.08392
020,0.01685,0.07697,0.14807,0.08512
020,0.01699,0.07726,0.15108,0.08300
021,0.01661,0.07730,0.14798,0.08427
021,0.01658,0.07762,0.14801,0.08292
021,0.01656,0.07745,0.14594,0.08451
021,0.01665,0.07729,0.14676,0.08435
022,0.01635,0.07746,0.14144,0.08466
022,0.01631,0.07742,0.14567,0.08233
022,0.01626,0.07802,0.14473,0.08310
022,0.01634,0.07755,0.14332,0.08263
023,0.01584,0.07861,0.14177,0.08298
023,0.01586,0.07873,0.14099,0.08314
023,0.01595,0.07858,0.14267,0.08265
023,0.01598,0.07778,0.14094,0.08238
024,0.01584,0.07843,0.14098,0.08403
024,0.01578,0.07880,0.13974,0.08397
024,0.01569,0.07870,0.13955,0.08304
024,0.01561,0.07833,0.13968,0.08352
025,0.01557,0.07893,0.13719,0.08550
025,0.01546,0.07860,0.13506,0.08602
025,0.01556,0.07882,0.13724,0.08432
025,0.01546,0.07858,0.13594,0.08473
026,0.01531,0.07953,0.13637,0.08341
026,0.01537,0.07942,0.13627,0.08413
026,0.01521,0.07925,0.13786,0.08273
026,0.01536,0.07937,0.13591,0.08472
027,0.01508,0.07908,0.13450,0.08385
027,0.01509,0.07961,0.13408,0.08456
027,0.01507,0.07963,0.13333,0.08512
027,0.01503,0.07977,0.13313,0.08461
028,0.01490,0.08030,0.13281,0.08532
028,0.01503,0.07898,0.13168,0.08549
028,0.01498,0.07973,0.13246,0.08479
028,0.01496,0.07965,0.13205,0.08474
029,0.01480,0.08024,0.13200,0.08501
029,0.01469,0.07976,0.13208,0.08404
029,0.01479,0.08004,0.13129,0.08466
029,0.01490,0.07989,0.12993,0.08488
030,0.01465,0.08020,0.13118,0.08585
030,0.01460,0.08114,0.13014,0.08600
030,0.01462,0.08075,0.12961,0.08653
030,0.01446,0.08060,0.12943,0.08675
031,0.01457,0.08084,0.12685,0.08769
031,0.01449,0.08095,0.12923,0.08721
031,0.01457,0.08064,0.12809,0.08742
031,0.01450,0.08084,0.12918,0.08678
032,0.01432,0.08076,0.12721,0.08660
032,0.01440,0.08098,0.12814,0.08682
032,0.01434,0.08132,0.12713,0.08604
032,0.01439,0.08127,0.12774,0.08673
033,0.01417,0.08135,0.12670,0.08745
033,0.01431,0.08121,0.12719,0.08780
033,0.01434,0.08050,0.12860,0.08775
033,0.01434,0.08091,0.12415,0.08894
034,0.01423,0.08108,0.12563,0.09013
034,0.01424,0.08136,0.12352,0.09023
034,0.01413,0.08131,0.12473,0.08937
034,0.01404,0.08124,0.12502,0.09021
035,0.01407,0.08180,0.12455,0.08751
035,0.01404,0.08233,0.12411,0.08724
035,0.01391,0.08249,0.12511,0.08803
035,0.01416,0.08146,0.12336,0.08840
036,0.01392,0.08221,0.12389,0.08867
036,0.01397,0.08232,0.12342,0.08787
036,0.01389,0.08238,0.12424,0.08814
036,0.01401,0.08206,0.12330,0.08962
037,0.01384,0.08184,0.12229,0.08827
037,0.01386,0.08194,0.12274,0.08843
037,0.01395,0.08148,0.12187,0.08867
037,0.01381,0.08185,0.12287,0.08826
038,0.01373,0.08225,0.12154,0.08955
038,0.01376,0.08184,0.12148,0.09005
038,0.01367,0.08292,0.12128,0.08936
038,0.01369,0.08198,0.12245,0.08977
039,0.01362,0.08265,0.12145,0.08932
039,0.01362,0.08276,0.12165,0.08959
039,0.01378,0.08229,0.12007,0.09020
039,0.01377,0.08237,0.11945,0.09007
040,0.01353,0.08319,0.11913,0.09144
040,0.01358,0.08326,0.12147,0.09032
040,0.01362,0.08299,0.12136,0.09076
040,0.01361,0.08396,0.11902,0.09104
041,0.01351,0.08297,0.12129,0.09150
041,0.01346,0.08331,0.12109,0.09177
041,0.01354,0.08390,0.12052,0.09130
041,0.01363,0.08330,0.12095,0.09182
042,0.01344,0.08349,0.11835,0.09229
042,0.01344,0.08408,0.11806,0.09264
042,0.01347,0.08359,0.12016,0.09124
042,0.01344,0.08380,0.11965,0.09260
043,0.01339,0.08387,0.11949,0.09022
043,0.01344,0.08435,0.11961,0.09114
043,0.01330,0.08442,0.11861,0.09097
043,0.01339,0.08377,0.11850,0.09148
044,0.01328,0.08436,0.11903,0.09273
044,0.01342,0.08395,0.11723,0.09449
044,0.01321,0.08443,0.11903,0.09276
044,0.01331,0.08454,0.11786,0.09283
045,0.01323,0.08466,0.11780,0.09357
045,0.01318,0.08412,0.11775,0.09350
045,0.01321,0.08477,0.11778,0.09444
045,0.01324,0.08472,0.11916,0.09394
046,0.01323,0.08415,0.11708,0.09251
046,0.01320,0.08476,0.11776,0.09243
046,0.01325,0.08399,0.11676,0.09220
046,0.01320,0.08506,0.11816,0.09112
047,0.01320,0.08457,0.11517,0.09409
047,0.01312,0.08492,0.11802,0.09224
047,0.01320,0.08465,0.11732,0.09356
047,0.01317,0.08497,0.11585,0.09350
048,0.01310,0.08483,0.11562,0.09317
048,0.01305,0.08533,0.11682,0.09318
048,0.01312,0.08538,0.11594,0.09306
048,0.01317,0.08463,0.11598,0.09217
049,0.01310,0.08566,0.11673,0.09516
049,0.01305,0.08543,0.11469,0.09596
049,0.01299,0.08543,0.11583,0.09590
049,0.01301,0.08562,0.11630,0.09397
050,0.01291,0.08593,0.11568,0.09661
050,0.01300,0.08593,0.11458,0.09658
050,0.01314,0.08554,0.11409,0.09750
050,0.01301,0.08636,0.11601,0.09638
051,0.01289,0.08667,0.11411,0.09659
051,0.01301,0.08604,0.11299,0.09688
051,0.01295,0.08616,0.11471,0.09549
051,0.01292,0.08642,0.11566,0.09570
052,0.01294,0.08656,0.11487,0.09765
052,0.01274,0.08658,0.11413,0.09856
052,0.01280,0.08634,0.11426,0.09873
052,0.01290,0.08675,0.11358,0.09815
053,0.01291,0.08631,0.11356,0.09767
053,0.01286,0.08650,0.11503,0.09490
053,0.01280,0.08641,0.11487,0.09600
053,0.01273,0.08733,0.11478,0.09716
054,0.01278,0.08704,0.11408,0.09760
054,0.01291,0.08606,0.11487,0.09728
054,0.01289,0.08696,0.11395,0.09820
054,0.01286,0.08706,0.11456,0.09824
055,0.01273,0.08740,0.11366,0.09824
055,0.01278,0.08734,0.11449,0.09671
055,0.01263,0.08679,0.11344,0.09750
055,0.01276,0.08787,0.11439,0.09775
056,0.01268,0.08749,0.11196,0.09780
056,0.01265,0.08726,0.11439,0.09851
056,0.01268,0.08769,0.11271,0.09718
056,0.01276,0.08765,0.11345,0.09814
057,0.01254,0.08795,0.11462,0.09706
057,0.01272,0.08750,0.11332,0.09705
057,0.01271,0.08736,0.11260,0.09811
057,0.01273,0.08737,0.11407,0.09815
058,0.01263,0.08769,0.11491,0.09670
058,0.01265,0.08776,0.11433,0.09664
058,0.01260,0.08846,0.11180,0.09896
058,0.01263,0.08811,0.11401,0.09824
059,0.01262,0.08770,0.11339,0.09914
059,0.01254,0.08719,0.11356,0.09791
059,0.01269,0.08794,0.11343,0.09761
059,0.01263,0.08772,0.11371,0.09900
060,0.01252,0.08911,0.11282,0.10114
060,0.01252,0.08827,0.11222,0.10202
060,0.01251,0.08838,0.11408,0.10064
060,0.01253,0.08870,0.11290,0.10048
061,0.01249,0.08957,0.11118,0.10125
061,0.01253,0.08892,0.11225,0.09914
061,0.01260,0.08816,0.11350,0.09871
061,0.01252,0.08807,0.11167,0.10049
062,0.01253,0.08900,0.11225,0.09903
062,0.01253,0.08876,0.11178,0.10005
062,0.01240,0.08944,0.11308,0.10047
062,0.01256,0.08858,0.11244,0.09910
063,0.01235,0.08932,0.11168,0.09872
063,0.01250,0.08834,0.11226,0.09903
063,0.01243,0.08886,0.11178,0.09850
063,0.01257,0.08823,0.11060,0.10081
064,0.01244,0.08938,0.11156,0.10070
064,0.01234,0.08920,0.11087,0.10042
064,0.01247,0.08911,0.11221,0.10065
064,0.01246,0.08964,0.11028,0.10054
065,0.01235,0.08902,0.11163,0.10145
065,0.01239,0.08931,0.11002,0.10198
065,0.01245,0.08891,0.11101,0.10184
065,0.01244,0.08938,0.11188,0.10140
066,0.01236,0.08976,0.11120,0.09963
066,0.01240,0.08895,0.11162,0.09969
066,0.01232,0.08974,0.11163,0.09945
066,0.01246,0.08958,0.11123,0.10066
067,0.01235,0.08986,0.11178,0.10095
067,0.01232,0.08908,0.11035,0.10148
067,0.01245,0.08920,0.11169,0.09983
067,0.01243,0.08918,0.10932,0.10060
068,0.01231,0.09032,0.11083,0.10133
068,0.01226,0.09006,0.10942,0.10016
068,0.01230,0.09058,0.11028,0.10147
068,0.01231,0.09052,0.11016,0.10041
069,0.01234,0.09032,0.11153,0.10340
069,0.01221,0.08972,0.11123,0.10377
069,0.01223,0.09039,0.11148,0.10318
069,0.01233,0.08907,0.11206,0.10319
