epoch,train_loss,train_f1_average,val_loss,val_f1_average
001,0.70712,0.00548,0.70358,0.00568
002,0.69972,0.00570,0.69606,0.00590
003,0.69220,0.00608,0.68851,0.00641
004,0.68481,0.00656,0.68102,0.00678
005,0.67724,0.00719,0.67359,0.00750
006,0.66942,0.00797,0.66564,0.00850
007,0.66156,0.00886,0.65729,0.00960
008,0.65334,0.00996,0.64869,0.01055
009,0.64495,0.01135,0.64047,0.01222
010,0.63652,0.01308,0.63161,0.01423
011,0.62764,0.01520,0.62253,0.01650
012,0.61861,0.01749,0.61320,0.01884
013,0.60941,0.01972,0.60430,0.02124
014,0.60021,0.02192,0.59493,0.02340
015,0.59066,0.02399,0.58472,0.02552
016,0.58058,0.02570,0.57456,0.02707
017,0.57103,0.02757,0.56445,0.02906
018,0.56095,0.02920,0.55453,0.03080
019,0.55077,0.03072,0.54394,0.03223
020,0.54058,0.03202,0.53446,0.03336
021,0.53056,0.03305,0.52364,0.03468
022,0.52048,0.03416,0.51342,0.03546
023,0.50992,0.03500,0.50294,0.03652
024,0.49920,0.03578,0.49252,0.03751
025,0.48913,0.03651,0.48204,0.03816
026,0.47868,0.03712,0.47246,0.03860
027,0.46913,0.03785,0.46172,0.03919
028,0.45881,0.03824,0.45225,0.03950
029,0.44872,0.03890,0.44233,0.04008
030,0.43865,0.03941,0.43096,0.04086
