epoch,train_loss,train_f1_average,val_loss,val_f1_average
001,0.12599,0.21576,0.02015,0.41348
002,0.01309,0.55095,0.00778,0.67302
003,0.00581,0.73463,0.00383,0.79434
004,0.00334,0.83189,0.00248,0.88000
005,0.00227,0.87848,0.00189,0.89834
006,0.00174,0.90480,0.00177,0.92765
007,0.00137,0.92289,0.00133,0.93062
008,0.00116,0.93307,0.00136,0.94284
009,0.00097,0.94337,0.00138,0.94856
010,0.00084,0.95095,0.00182,0.96122
011,0.00074,0.95648,0.00159,0.96615
012,0.00067,0.96131,0.00234,0.97534
013,0.00061,0.96449,0.00195,0.97284
014,0.00055,0.96807,0.00226,0.97488
015,0.00051,0.97008,0.00143,0.95506
016,0.00048,0.97191,0.00156,0.97718
017,0.00043,0.97481,0.00180,0.97645
018,0.00040,0.97626,0.00222,0.97856
019,0.00038,0.97729,0.00218,0.97662
020,0.00036,0.97841,0.00202,0.97987
021,0.00033,0.98058,0.00201,0.97959
022,0.00032,0.98096,0.00241,0.98202
023,0.00030,0.98250,0.00242,0.98485
024,0.00029,0.98292,0.00244,0.98513
025,0.00028,0.98330,0.00199,0.98625
026,0.00025,0.98470,0.00240,0.98354
027,0.00026,0.98486,0.00197,0.98282
028,0.00022,0.98649,0.00243,0.98834
029,0.00023,0.98618,0.00225,0.98096
030,0.00023,0.98653,0.00179,0.98481
