epoch,train_loss,train_f1_average,val_loss,val_f1_average
001,0.21873,0.10248,0.06397,0.18759
002,0.03441,0.32851,0.01761,0.47608
003,0.01420,0.54843,0.01000,0.61171
004,0.00895,0.65518,0.00690,0.69243
005,0.00618,0.72702,0.00472,0.76243
006,0.00470,0.78041,0.00358,0.81631
007,0.00373,0.81464,0.00325,0.84916
008,0.00310,0.83908,0.00243,0.86093
009,0.00268,0.85726,0.00236,0.86749
010,0.00233,0.87556,0.00191,0.89009
011,0.00198,0.89150,0.00179,0.91033
012,0.00175,0.90336,0.00145,0.91246
013,0.00159,0.91145,0.00146,0.92418
014,0.00146,0.91889,0.00130,0.92466
015,0.00131,0.92632,0.00113,0.92962
016,0.00125,0.93109,0.00113,0.93083
017,0.00114,0.93588,0.00111,0.93892
018,0.00104,0.94113,0.00099,0.94134
019,0.00100,0.94355,0.00103,0.95602
020,0.00094,0.94671,0.00097,0.95251
021,0.00089,0.94968,0.00093,0.96042
022,0.00084,0.95226,0.00079,0.95460
023,0.00079,0.95485,0.00084,0.96223
024,0.00075,0.95693,0.00074,0.96225
025,0.00072,0.95889,0.00075,0.96403
026,0.00070,0.95998,0.00071,0.96468
027,0.00068,0.96109,0.00073,0.96478
028,0.00063,0.96362,0.00073,0.95260
029,0.00060,0.96461,0.00068,0.96777
030,0.00056,0.96638,0.00071,0.97156
