epoch,train_loss,train_f1_average,val_loss,val_f1_average
001,0.65617,0.01644,0.61021,0.02357
002,0.55350,0.02750,0.49100,0.03157
003,0.43931,0.03519,0.38877,0.03855
004,0.35418,0.04252,0.31976,0.04701
005,0.29113,0.05195,0.26305,0.05797
006,0.24104,0.06241,0.21477,0.06813
007,0.19660,0.07463,0.17850,0.08199
008,0.16229,0.08912,0.14772,0.09683
009,0.13493,0.10485,0.12227,0.11332
010,0.11242,0.12197,0.10108,0.13076
011,0.09385,0.14034,0.08347,0.15171
012,0.07871,0.15859,0.06967,0.17041
013,0.06585,0.18069,0.05803,0.19520
014,0.05546,0.20574,0.04897,0.22192
015,0.04738,0.23284,0.04162,0.25314
016,0.04077,0.26006,0.03597,0.27862
017,0.03523,0.28595,0.03072,0.30062
018,0.03057,0.30897,0.02672,0.33127
019,0.02692,0.34338,0.02402,0.37240
020,0.02384,0.37787,0.02124,0.39391
021,0.02123,0.40363,0.01897,0.41983
022,0.01930,0.42934,0.01747,0.45500
023,0.01762,0.46273,0.01590,0.48813
024,0.01640,0.49295,0.01515,0.51417
025,0.01528,0.51407,0.01412,0.53588
026,0.01440,0.53525,0.01288,0.55319
027,0.01373,0.54969,0.01269,0.56468
028,0.01273,0.56736,0.01217,0.58094
029,0.01225,0.57742,0.01123,0.59265
030,0.01175,0.58469,0.01120,0.59369
