epoch,train_loss
0,4.251131939030522
0,4.249518264606503
0,4.252572371477724
0,4.250713090987283
1,4.151999196221682
1,4.153419990902255
1,4.151929952409357
1,4.150355747210285
2,4.140957460525658
2,4.137676226279616
2,4.139623029747498
2,4.139312564996512
3,4.136563979894379
3,4.1361999361512085
3,4.134833038577663
3,4.138376946033353
4,4.132755474927949
4,4.1349938830052
4,4.1357940594979485
4,4.135343318716856
5,4.134770394278341
5,4.133522144749717
5,4.133046998776597
5,4.131302917688629
6,4.133614439646928
6,4.1324313781930675
6,4.134114525405865
6,4.134239373201178
7,4.132966933106529
7,4.1314139618465555
7,4.13139554162122
7,4.1326144320948055
8,4.1312061503387865
8,4.133388562969257
8,4.1321230984956285
8,4.130874635484308
9,4.130594203806258
9,4.134260329711334
9,4.131845342565933
9,4.131192053423878
10,4.133084076601102
10,4.131983876829554
10,4.132226221243081
10,4.12835514069392
11,4.132342382677827
11,4.131958230993579
11,4.131881304642739
11,4.130939910450273
12,4.131923727143545
12,4.131499216782253
12,4.129775812725431
12,4.132894501128242
13,4.131605815532632
13,4.130708338140998
13,4.13089299818956
13,4.133639303462078
14,4.129050657541213
14,4.1308792450153025
14,4.130935945901165
14,4.129547797928866
15,4.135213331251708
15,4.1318942286446845
15,4.129981500050803
15,4.134281161561787
16,4.131256107635466
16,4.130884050090927
16,4.12798612246882
16,4.128981427014884
17,4.12909851350189
17,4.132359069967723
17,4.1326240817098
17,4.130606445668896
18,4.133339076339829
18,4.131442843512495
18,4.132193240275704
18,4.130529501813657
19,4.13129273505682
19,4.133449618744426
19,4.12896738032656
19,4.131220807433867
20,4.130836293518962
20,4.13189030273141
20,4.131922550327574
20,4.127127790943854
21,4.133648878643955
21,4.132708645024641
21,4.1326462294652275
21,4.134184201032773
22,4.131615377783332
22,4.133361149504442
22,4.132189320078957
22,4.132263188679487
23,4.1295613047996795
23,4.130745214940892
23,4.131011367346837
23,4.1329304031223835
24,4.133667053216349
24,4.13258969715776
24,4.129508958606002
24,4.12958452207779
25,4.1320478160995355
25,4.130003420209628
25,4.133405773301615
25,4.13051419453268
26,4.130612729826758
26,4.130746242220415
26,4.13509769802401
26,4.131064647581519
27,4.133285318558351
27,4.132726822041342
27,4.1305062616103045
27,4.130303579048955
28,4.13103351478687
28,4.132562441193106
28,4.13216001022547
28,4.131541239283902
29,4.128900913208563
29,4.131041084295859
29,4.131250911056626
29,4.131905162349226
