epoch,train_loss,train_f1_average,val_loss,val_f1_average
001,0.59245,0.02199,0.42810,0.04165
002,0.28980,0.06399,0.19719,0.08446
003,0.14947,0.10298,0.11539,0.12314
004,0.09441,0.14116,0.07537,0.16445
005,0.06505,0.18395,0.05328,0.21131
006,0.04672,0.23936,0.03795,0.27962
007,0.03440,0.30189,0.02931,0.33040
008,0.02611,0.35672,0.02136,0.38890
009,0.02022,0.41366,0.01705,0.45663
010,0.01644,0.48026,0.01421,0.52543
011,0.01414,0.53659,0.01182,0.56744
012,0.01209,0.57969,0.01019,0.59864
013,0.01042,0.61758,0.00869,0.63899
014,0.00909,0.64871,0.00794,0.67311
015,0.00804,0.67484,0.00696,0.69784
016,0.00721,0.69756,0.00612,0.71630
017,0.00654,0.71647,0.00582,0.73702
018,0.00595,0.73386,0.00532,0.76160
019,0.00545,0.75246,0.00474,0.77530
020,0.00508,0.76684,0.00440,0.78767
021,0.00463,0.78195,0.00422,0.80239
022,0.00438,0.79303,0.00395,0.79750
023,0.00415,0.80237,0.00386,0.80325
024,0.00382,0.81338,0.00339,0.82961
025,0.00368,0.82016,0.00311,0.83325
026,0.00348,0.82628,0.00323,0.83511
027,0.00325,0.83380,0.00300,0.85732
028,0.00318,0.83982,0.00285,0.85446
029,0.00302,0.84522,0.00264,0.85846
030,0.00281,0.85245,0.00259,0.86022
