epoch,train_loss,train_f1_average,val_loss,val_f1_average
001,0.06870,0.00674,0.67670,0.00754
001,0.06867,0.00669,0.67726,0.00754
001,0.06867,0.00670,0.67725,0.00761
001,0.06866,0.00669,0.67698,0.00759
002,0.06709,0.00825,0.65685,0.01011
002,0.06706,0.00829,0.65672,0.01005
002,0.06710,0.00828,0.65705,0.01021
002,0.06708,0.00815,0.65761,0.01011
003,0.06519,0.01036,0.63282,0.01282
003,0.06518,0.01048,0.63278,0.01266
003,0.06516,0.01046,0.63314,0.01278
003,0.06518,0.01036,0.63292,0.01290
004,0.06301,0.01296,0.60608,0.01586
004,0.06293,0.01297,0.60553,0.01577
004,0.06298,0.01286,0.60502,0.01563
004,0.06300,0.01294,0.60581,0.01556
