epoch,train_loss
0,0.5563992075501137
1,0.554780532646597
2,0.5530200987800867
3,0.5512258418317125
4,0.5494788335236469
5,0.5478168148780661
6,0.5462436954927825
7,0.5448080411494254
8,0.5434573315370025
9,0.5421954705001951
10,0.5410236137332882
11,0.5398749509505223
12,0.5387970174473913
13,0.5377495745351959
14,0.5367374284523598
15,0.5357377411655101
16,0.5347172894357437
17,0.5337166303827786
18,0.5327762600350275
19,0.5317992132461369
20,0.5307814450400357
21,0.5297881275807051
22,0.5288575119070403
23,0.5279028992805245
24,0.5269157706662202
25,0.5259467948284754
26,0.5249468609986309
27,0.5239594446018595
28,0.5229976329506135
29,0.5220261404115617
30,0.5210526913074266
31,0.5200640186701998
32,0.5191195025053321
33,0.5181606207487357
34,0.5172121142610021
35,0.5162116835824425
36,0.5152596145215583
37,0.5143040498671105
38,0.5133651697675582
39,0.5124345333635791
40,0.5114128961694575
41,0.5105361960315729
42,0.5096028946779708
43,0.5086656878179449
44,0.5077069828633763
45,0.5067601828408038
46,0.5059125494078489
47,0.5049111853614047
48,0.5041085532970325
49,0.5031608630258746
50,0.5022367068431759
51,0.5013797790756609
52,0.5004819543590192
53,0.49965399769402385
54,0.4987382137738562
55,0.497815176803898
56,0.4969840534321275
57,0.49628074330879346
58,0.4953946057590926
59,0.4945637230404994
60,0.49373238984072093
61,0.49292155523885006
62,0.4920527444583674
63,0.49129604515541586
64,0.49047780816040837
65,0.48974323458384067
66,0.48885321437744284
67,0.48802571632419167
68,0.4875270516563402
69,0.4865155496999057
70,0.4857770917480737
71,0.48509807669449884
72,0.4843553394562987
73,0.4835753370839522
74,0.4828858620771518
75,0.48210082824959394
76,0.48139166032429426
77,0.480644706979728
78,0.4799670062922719
79,0.47931291881187527
80,0.4785957731558041
81,0.47785502534433605
82,0.47720401268034857
83,0.4765726097233361
84,0.47590392584869523
85,0.4752480752656706
86,0.47440853154680773
87,0.473868404361459
88,0.47336168802758216
89,0.4726618077683713
90,0.47206633864712144
91,0.4714818661850588
92,0.4709885024327158
93,0.47023945800946626
94,0.46959627419825345
95,0.4689855362898417
96,0.46838790588359247
97,0.46773261284281437
98,0.4671931753988519
99,0.46664645820203376
