epoch,train_loss,train_f1_average,val_loss,val_f1_average
001,0.01393,0.08559,0.10395,0.11192
001,0.01383,0.08666,0.10464,0.11245
001,0.01406,0.08517,0.10478,0.11338
001,0.01392,0.08521,0.10308,0.11319
002,0.01013,0.11488,0.09228,0.12009
002,0.01014,0.11532,0.09368,0.11735
002,0.01010,0.11469,0.09310,0.11754
002,0.01013,0.11399,0.09260,0.11952
003,0.00829,0.14225,0.06952,0.17152
003,0.00827,0.14167,0.07140,0.16873
003,0.00831,0.14222,0.07156,0.16597
003,0.00829,0.14202,0.07134,0.16861
004,0.00659,0.17269,0.06137,0.16767
004,0.00666,0.17265,0.06016,0.16953
004,0.00651,0.17449,0.06040,0.16920
004,0.00656,0.17459,0.05993,0.16993
005,0.00575,0.19747,0.05018,0.22792
005,0.00580,0.19639,0.05020,0.22804
005,0.00579,0.19779,0.04969,0.22959
005,0.00569,0.19852,0.05020,0.22604
006,0.00499,0.22303,0.04516,0.22429
006,0.00502,0.22219,0.04481,0.22446
006,0.00508,0.22191,0.04474,0.22761
006,0.00501,0.22376,0.04480,0.22668
007,0.00447,0.24426,0.04174,0.23522
007,0.00444,0.24500,0.04238,0.23415
007,0.00448,0.24535,0.04215,0.23698
007,0.00449,0.24474,0.04197,0.23557
008,0.00405,0.26522,0.03818,0.26535
008,0.00412,0.26666,0.03913,0.26473
008,0.00401,0.26707,0.03889,0.26620
008,0.00399,0.26795,0.03829,0.26567
009,0.00372,0.28245,0.03850,0.23778
009,0.00371,0.28598,0.03945,0.23291
009,0.00376,0.28454,0.03900,0.23476
009,0.00373,0.28492,0.03897,0.23407
010,0.00349,0.29887,0.02963,0.33649
010,0.00349,0.29868,0.03065,0.33109
010,0.00349,0.29760,0.02983,0.33675
010,0.00355,0.29963,0.03048,0.33465
011,0.00324,0.31725,0.03136,0.30974
011,0.00325,0.31602,0.03062,0.30933
011,0.00326,0.31577,0.03055,0.31081
011,0.00327,0.31399,0.03070,0.30955
012,0.00320,0.31947,0.02744,0.32673
012,0.00321,0.32045,0.02816,0.32639
012,0.00327,0.31772,0.02782,0.32746
012,0.00318,0.32025,0.02751,0.32739
013,0.00290,0.34516,0.02669,0.36202
013,0.00291,0.34210,0.02669,0.36133
013,0.00289,0.34555,0.02684,0.36191
013,0.00293,0.34342,0.02637,0.36412
014,0.00280,0.35205,0.02538,0.35626
014,0.00280,0.35214,0.02583,0.35447
014,0.00278,0.35122,0.02568,0.35604
014,0.00278,0.35320,0.02541,0.35538
015,0.00270,0.36204,0.02544,0.35181
015,0.00270,0.36200,0.02549,0.35034
015,0.00269,0.36218,0.02560,0.35158
015,0.00268,0.36142,0.02528,0.35192
016,0.00254,0.37868,0.02333,0.39193
016,0.00253,0.37713,0.02367,0.38908
016,0.00250,0.37718,0.02359,0.39359
016,0.00255,0.37668,0.02327,0.39071
017,0.00242,0.38753,0.02024,0.41697
017,0.00241,0.39201,0.02070,0.41548
017,0.00241,0.38821,0.02108,0.41634
017,0.00242,0.39077,0.02062,0.42308
018,0.00229,0.40577,0.01971,0.43881
018,0.00226,0.40491,0.01893,0.43801
018,0.00222,0.40807,0.01983,0.43485
018,0.00230,0.40405,0.01981,0.43973
019,0.00219,0.41386,0.01839,0.43594
019,0.00220,0.41280,0.01850,0.43407
019,0.00219,0.41679,0.01844,0.43586
019,0.00222,0.41367,0.01825,0.43548
020,0.00217,0.41734,0.02036,0.39381
020,0.00212,0.41835,0.02046,0.39026
020,0.00219,0.41800,0.02078,0.38966
020,0.00215,0.41902,0.02058,0.39028
021,0.00210,0.42553,0.02025,0.36857
021,0.00215,0.42680,0.02025,0.36774
021,0.00212,0.42342,0.02035,0.37166
021,0.00212,0.42257,0.02045,0.36805
022,0.00192,0.44890,0.01545,0.47874
022,0.00192,0.44604,0.01536,0.47690
022,0.00192,0.45079,0.01590,0.47681
022,0.00190,0.44877,0.01518,0.47843
023,0.00177,0.46731,0.01563,0.47363
023,0.00178,0.46863,0.01621,0.47270
023,0.00176,0.46796,0.01609,0.47148
023,0.00178,0.46356,0.01614,0.47446
024,0.00171,0.47615,0.01992,0.39510
024,0.00173,0.47420,0.02039,0.40300
024,0.00172,0.47393,0.02022,0.39478
024,0.00173,0.47579,0.02059,0.39349
025,0.00155,0.50021,0.01119,0.54869
025,0.00155,0.49689,0.01088,0.54649
025,0.00154,0.50031,0.01094,0.54572
025,0.00154,0.49844,0.01097,0.54604
026,0.00131,0.53596,0.01109,0.51338
026,0.00131,0.53643,0.01080,0.51907
026,0.00131,0.53738,0.01101,0.51807
026,0.00132,0.53854,0.01114,0.51156
027,0.00118,0.56827,0.00829,0.59076
027,0.00118,0.56392,0.00845,0.58843
027,0.00117,0.56419,0.00816,0.59358
027,0.00119,0.56193,0.00828,0.59068
028,0.00103,0.59351,0.00832,0.58380
028,0.00104,0.59111,0.00831,0.58416
028,0.00103,0.59100,0.00855,0.58336
028,0.00104,0.58859,0.00834,0.58589
029,0.00091,0.61964,0.00545,0.67712
029,0.00094,0.61959,0.00538,0.67369
029,0.00092,0.61791,0.00549,0.67538
029,0.00092,0.61793,0.00551,0.67634
030,0.00074,0.67271,0.00390,0.75945
030,0.00075,0.67014,0.00353,0.76770
030,0.00076,0.67167,0.00376,0.76376
030,0.00076,0.67216,0.00381,0.76492
